2025-07-30 13:33:31 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-30 13:33:37 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
2025-07-30 13:33:40 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-30 13:33:43 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-30 13:33:45 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-30 13:33:49 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-30 13:33:52 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-30 13:35:50 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-30 13:36:02 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-30 13:36:24 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\somar_12m.py
2025-07-30 13:36:38 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-30 13:36:46 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-30 13:36:48 | IP: 192.168.101.108 | CNPJ: 32.618.447/0001-15 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
